time	1e4	1e5	1e6	1e7	2e7	3e7	4e7	5e6	5e7	update	watcher
205	0.002123704244350565	0.017490880242709457	0.17913921674092612	-	-	-	7.102104902267456	-	-	0.0015898954521105127	2
206	0.0021822558040112522	0.01781411681856428	0.1912208398183187	1.7636406421661377	-	5.257019996643066	-	0.8807780742645264	-	0.0009646553168476932	2
207	0.0021635084821466813	0.01810349358452691	0.18588674068450928	-	3.487191915512085	-	-	-	-	0.001855473448760318	2
208	0.0021891709977546626	0.01826056412288121	0.17887385686238608	-	-	-	-	0.8795204162597656	-	0.007753042798293264	2
209	0.0022034952375623914	0.018179469638400607	0.17805926005045572	-	-	-	-	0.8966531753540039	-	0.003021379311879476	2
210	0.002246852334775881	0.018320189581976995	0.17783582210540771	1.77541184425354	-	-	-	-	8.909412860870361	0.0009524736404418945	2
211	0.002208254262470878	0.017985267298562185	0.17779366175333658	-	-	-	-	0.8776965141296387	-	0.0010696405892843728	2
212	0.0022169759681632925	0.018242835998535156	0.17685937881469727	-	-	-	-	-	-	0.0009957310612216318	2
213	0.002225810343080813	0.017954199402420608	0.19036269187927246	1.7633476257324219	-	-	-	0.8817238807678223	-	0.0011337535325870957	2
214	0.0023008080415947495	0.01839699568571868	0.17629273732503256	-	3.512399911880493	-	-	-	-	0.0011109203303864986	2
215	0.0022638970558796455	0.01815523420061384	0.17733287811279297	-	-	-	-	0.8795130252838135	-	0.0010038752201174902	2
216	0.0022629018223613772	0.01811605029635959	0.1835340658823649	-	-	-	-	-	-	0.0009951518357165753	2
217	0.0024380388826426894	0.0181921124458313	0.17673452695210776	1.7772691249847412	-	5.299497842788696	-	0.9125432968139648	-	0.0010584908982981807	2
218	0.002293405709443269	0.018175778565583407	0.17669892311096191	-	-	-	-	0.8774664402008057	-	0.0012190455198287963	2
219	0.002297067642211914	0.018161892890930176	0.18007787068684897	-	-	-	-	-	-	0.0015678656351816905	2
220	0.002313168395852819	0.018115794217145	0.1782156229019165	-	-	-	7.0203046798706055	0.891960620880127	-	0.0012205448100175806	2
221	0.002327655846217893	0.01966836819281945	0.17650985717773438	1.7595884799957275	3.5111141204833984	-	-	-	-	0.0013171870534012958	2
222	0.0024098291629698217	0.018742928138146035	0.17865347862243652	-	-	-	-	0.8750095367431641	-	0.0012394909931318409	2
223	0.002365129416068775	0.01855870529457375	0.17938780784606934	-	-	-	-	-	-	0.0013248858190392078	2
224	0.0022132984725883723	0.01829361915588379	0.1761492888132731	1.7587690353393555	-	-	-	0.8822488784790039	-	0.0008428032100739574	2
225	0.0021771880498541608	0.017673303341043407	0.17626047134399414	-	-	-	-	0.8681070804595947	-	0.0011203652383887943	2
226	0.0021772006534794878	0.017747810908726284	0.17522128423055014	-	-	-	-	-	-	0.0008247404387502959	2
227	0.0017451255771188973	0.017166088367330617	0.17293175061543783	-	-	5.215376615524292	-	0.8712351322174072	-	0.000255583637369239	2
228	0.0017688308565420063	0.017671270029885427	0.17555499076843262	1.7441082000732422	3.4995830059051514	-	-	-	8.692328929901123	0.00026827571521695906	2
